code,latest_close,rsi,boll_pos,vol_ratio,above_ma60,volatility,pullback_5d,pullback_20d,overnight_win_rate,ret_3d,main_pct_1d,main_pct_3d,main_pct_5d,flow_trend,name,is_hot_leader,hot_concept,hot_score,s_rsi,s_boll,s_vol,s_volatility,s_trend,s_flow_1d,s_flow_trend,s_overnight,s_hot,total_score
601500,4.58,44.00000000000001,0.21571849827641118,1.007321280903362,False,0.20789700007883566,-0.02136752136752129,-0.05567010309278342,0.55,0.002188183807439792,-6.4,-10.513333333333334,-9.004,13.19,通用股份,False,,0.0,0.16423396552504405,0.9613882380111206,0.21748004836675644,1.1605433627303843,-1.6308487780851146,-0.7393275657225332,1.295347313220631,1.009204279245281,-0.1767982784351456,0.3422483533275941
300294,22.17,26.953124999999957,0.22191138766251362,1.1683316008621245,False,0.21175065981140917,-0.018157661647475454,-0.07586494372655261,0.5,-0.006720430107526765,,,,,博雅生物,False,,0.0,1.6197669067966487,0.9373286328041749,-0.22202461260524325,1.1324091371462859,-1.6308487780851146,0.2526103409425438,-0.2134714069610251,0.46706974907219595,-0.1767982784351456,0.339501954288238
002626,18.9,34.18530351437698,0.3400931749867947,0.8965050485949031,False,0.22300817913090695,-0.019200830306175476,-0.09178279673234024,0.55,0.0010593220338983578,-10.58,-14.766666666666666,-11.533999999999999,10.209999999999999,金达威,False,,0.0,1.0022534877780622,0.4781880009604402,0.5199715322877723,1.0502219151206953,-1.6308487780851146,-1.3871870110131612,0.9544618101015001,1.009204279245281,-0.1767982784351456,0.3174134192141946
601609,11.37,40.23529411764706,0.34273869001058677,0.9123515781809314,True,0.453302491318344,-0.0388841927303466,-0.12064965197215782,0.6,-0.023195876288659933,,,,,金田铜业,False,,0.0,0.4856801793304297,0.4679100768650544,0.4767157731844186,-0.6310765334813837,1.173520813860188,0.2526103409425438,-0.2134714069610251,1.551338809418365,-0.1767982784351456,0.2949767615814326
300725,40.19,36.726272352132064,0.11153113198387378,1.1590912485623386,False,0.24454889658101722,-0.04377825362836074,-0.08866213151927449,0.45,-0.031099324975891962,,,,,药石科技,False,,0.0,0.7852950220125109,1.3661600245337802,-0.1968015219001295,0.8929606502347022,-0.5091009413069935,0.2526103409425438,-0.2134714069610251,-0.07506478110088863,-0.1767982784351456,0.292623368041317
603236,84.66,12.144212523719176,0.20969666977909368,0.8442138892474507,False,0.31283272295653175,-0.04219934381717394,-0.15761194029850745,0.25,-0.01695308871342327,-8.62,-5.359999999999999,-3.162,1.08,移远通信,False,,0.0,2.884213319035529,0.9847832653136473,0.6627090181006136,0.3944442506793112,-0.5091009413069935,-1.0834060270969816,-0.08992900985744748,-2.2436029017932273,-0.1767982784351456,0.29194370384571916
301047,74.05,32.32432432432432,0.3582224561160173,1.1006463208101476,True,0.19646368985382717,-0.00962953056038518,-0.0737961225766105,0.35,0.0028439869989165256,,,,,义翘神州,False,,0.0,1.1611516150971508,0.40775507063333416,-0.03726629357539501,1.2440139728427502,0.051772977082067066,0.2526103409425438,-0.2134714069610251,-1.1593338414470584,-0.1767982784351456,0.29111874984886144
002967,23.08,39.626168224299036,0.15320783275054858,0.8107428237800504,True,0.34446179607048083,-0.042720862712567476,-0.13428357089272325,0.35,-0.009867009867009835,-2.27,2.8266666666666667,0.8400000000000002,-0.56,广电计量,False,,0.0,0.5376898763071212,1.2042444945996524,0.7540739025650941,0.16353141982345104,1.173520813860188,-0.09921763532772565,-0.2775304276813987,-1.1593338414470584,-0.1767982784351456,0.26169320103087207
600151,14.72,44.44444444444445,0.19742432386427763,0.7462533266690916,False,0.5755299552862227,-0.08571428571428574,-0.1588571428571428,0.4,0.004778156996587013,-0.28,-8.793333333333333,-8.03,22.529999999999998,航天机电,False,,0.0,0.12628545417301956,1.032461784864822,0.9301087962990232,-1.5234166160210838,-0.5091009413069935,0.20921305752594668,2.3637602659497188,-0.6171993112739732,-0.1767982784351456,0.24951081096114996
600129,17.69,43.145161290322605,0.26349524898493915,0.7022289262008575,False,0.21081942221308606,-0.023191606847045687,-0.06599788806758178,0.5,-0.002256063169768674,,,,,太极集团,False,,0.0,0.23722364260131573,0.7757737875580836,1.050280777866679,1.1392077780439658,-1.6308487780851146,0.2526103409425438,-0.2134714069610251,0.46706974907219595,-0.1767982784351456,0.24421531531617308
603057,29.26,51.767676767676775,0.7656095579897921,1.3581343989904302,True,0.44243808121565603,-0.026613439787092408,-0.08045254556882464,0.65,-0.003066439522998343,9.8,13.763333333333335,9.392,-9.36,紫燕食品,False,,1.0,-0.4990025169682953,-1.1749589464264067,-0.7401231696684364,-0.5517592647346027,0.051772977082067066,1.771515260523443,-1.2841721818586977,2.0934733395914504,5.569145770707086,0.19789858873363944
002017,22.49,35.61643835616434,0.21687615284923545,1.108242399838937,False,0.340860637150865,-0.02850971922246226,-0.13699155794320805,0.4,0.0017817371937638438,1.87,0.5633333333333335,-4.582,8.34,东信和平,False,,0.0,0.8800572550009101,0.9568907070119924,-0.05800106473242193,0.18982222504226057,-1.6308487780851146,0.5424421980462459,0.7405504373388242,-0.6171993112739732,-0.1767982784351456,0.1908609694389914
300638,29.82,46.43356643356644,0.4639243695096218,0.7430169891098458,True,0.3660697602144263,-0.05273189326556549,-0.06957878315132593,0.4,-0.029296875,,,,,广和通,False,,0.0,-0.043554037192685115,-0.0029007876120938896,0.9389429222241911,0.005779210280836629,1.173520813860188,0.2526103409425438,-0.2134714069610251,-0.6171993112739732,-0.1767982784351456,0.13677856946817385
002881,46.99,50.935960591133025,0.591765611660198,0.7892849697727746,True,0.31601919767302966,-0.044530296868645736,-0.044530296868645736,0.45,-0.02246723528188055,,,,,美格智能,False,,0.0,-0.42798713774202096,-0.4995687601114726,0.8126467123891462,0.3711809101891767,1.173520813860188,0.2526103409425438,-0.2134714069610251,-0.07506478110088863,-0.1767982784351456,0.11499820355242886
603662,67.3,43.732193732193714,0.45549869643152036,1.4808703671394032,True,0.31685292959714717,-0.03179398647676601,-0.08185538881309684,0.5,0.0029806259314455463,,,,,柯力传感,False,,0.0,0.18710037621152256,0.029833265141510218,-1.0751515708553931,0.3650941242097301,1.173520813860188,0.2526103409425438,-0.2134714069610251,0.46706974907219595,-0.1767982784351456,0.11387944936323448
600928,3.74,56.363636363636395,0.472982838652087,0.840980830036343,False,0.17711537519810358,-0.03856041131105392,-0.05316455696202527,0.5,-0.007957559681697535,,,,,西安银行,False,,0.0,-0.8914246229949155,-0.03809327657146456,0.6715341952249381,1.3852692696181932,-0.5091009413069935,0.2526103409425438,-0.2134714069610251,0.46706974907219595,-0.1767982784351456,0.10474071821355577
600456,39.0,44.26751592356688,0.48625979535118397,1.0222112826618623,True,0.477325614540545,-0.02791625124626118,-0.09260120986505349,0.5,-0.009146341463414642,4.16,1.9133333333333333,-2.6399999999999997,5.82,宝钛股份,False,,0.0,0.14139234563481293,-0.08967474632076176,0.17683529232616077,-0.8064609770675961,0.051772977082067066,0.8973699802748437,0.4522848440971432,0.46706974907219595,-0.1767982784351456,0.09670248267120049
002434,9.63,32.802547770700656,0.3021603232968443,1.5127384816570535,True,0.4399334447167174,-0.050295857988165604,-0.14854111405835546,0.4,-0.019348268839103788,,,,,万里扬,False,,0.0,1.1203189123590134,0.6255585382224046,-1.1621409319751275,-0.5334737872515537,1.173520813860188,0.2526103409425438,-0.2134714069610251,-0.6171993112739732,-0.1767982784351456,0.08320910943458802
002488,12.91,53.944020356234105,0.6260614943042886,0.7735482921473172,True,0.3976057714550979,-0.042284866468842774,-0.06177325581395343,0.55,0.0,,,,,金固股份,False,,0.0,-0.6848277655649114,-0.6328095375896372,0.8556026121499423,-0.2244542082974071,1.173520813860188,0.2526103409425438,-0.2134714069610251,1.009204279245281,-0.1767982784351456,0.06483987866196446
600866,7.3,47.727272727272705,0.46239007812127025,1.2799264227458644,True,0.2610651084269742,-0.009497964721845387,-0.03566710700132103,0.5,0.008287292817679592,,,,,星湖科技,False,,0.0,-0.15401605013170536,0.0030599913998799132,-0.5266413872989738,0.7723815482602261,0.051772977082067066,0.2526103409425438,-0.2134714069610251,0.46706974907219595,-0.1767982784351456,0.06380400632299153
