code,latest_close,rsi,boll_pos,vol_ratio,above_ma60,above_ma20,volatility,pullback_5d,pullback_20d,overnight_win_rate,overnight_avg_ret,ret_3d,score_rsi,score_boll,score_vol,score_volatility,score_trend,score_overnight,total_score,name
300725,40.19,36.726272352132064,0.11153113198387378,1.1590912485623386,False,False,0.24454889658101722,-0.04377825362836074,-0.08866213151927449,0.45,-0.0031735307515470775,-0.031099324975891962,0.7852950220125109,1.3661600245337802,-0.1968015219001295,0.8929606502347022,-0.5091009413069935,-0.07506478110088863,0.46644804163897785,药石科技
600789,9.16,13.291139240506368,0.3585988070843465,0.8162414571315608,False,False,0.4332131424487806,-0.01505376344086029,-0.14948932219127198,0.35,-0.00029094959894140015,0.004385964912280826,2.786283955588666,0.40629293314746645,0.7390644610113857,-0.4844112043770664,-1.6308487780851146,-1.1593338414470584,0.41093165628810807,鲁抗医药
301078,10.63,49.009900990099034,0.17883490718685624,0.9921207938568778,True,False,0.3110758882235668,-0.031876138433515444,-0.08044982698961933,0.45,-0.004632362348184469,-0.00839552238805974,-0.2635321748143636,1.10468235888151,0.2589723260523444,0.4072702882958206,1.173520813860188,-0.07506478110088863,0.38864086066459075,孩子王
600129,17.69,43.145161290322605,0.26349524898493915,0.7022289262008575,False,False,0.21081942221308606,-0.023191606847045687,-0.06599788806758178,0.5,-0.0020390030249906495,-0.002256063169768674,0.23722364260131573,0.7757737875580836,1.050280777866679,1.1392077780439658,-1.6308487780851146,0.46706974907219595,0.3631353092672888,太极集团
600037,7.99,49.04761904761907,0.38594365945354336,0.6522827949653615,True,False,0.3166393067010738,-0.07308584686774933,-0.07308584686774933,0.4,0.0014013235760271595,-0.01842751842751844,-0.26675269911580846,0.3000571663789673,1.1866171163146857,0.36665371046413,1.173520813860188,-0.6171993112739732,0.3439519006695527,歌华有线
601500,4.58,44.00000000000001,0.21571849827641118,1.007321280903362,False,False,0.20789700007883566,-0.02136752136752129,-0.05567010309278342,0.55,-0.0016291960450163629,0.002188183807439792,0.16423396552504405,0.9613882380111206,0.21748004836675644,1.1605433627303843,-1.6308487780851146,1.009204279245281,0.30629051809578034,通用股份
300170,23.15,36.01312551271534,-0.06889739377549123,1.1613906694826641,True,False,0.5448957108647919,-0.10721172387196298,-0.20392022008253097,0.4,-0.006905376624721332,-0.09144427001569866,0.8461864591078594,1.799462613441248,-0.20307817678957032,-1.2997666824615948,1.173520813860188,-0.6171993112739732,0.3053591347340285,汉得信息
301267,18.68,43.81625441696108,0.3230225235762594,0.8027617951668584,False,False,0.1713846471714509,-0.026068821689259614,-0.04057524396507439,0.45,-0.0010265690085838174,-0.004264392324093924,0.17992292604867755,0.5445081155235324,0.7758594581477868,1.4271073161120624,-1.6308487780851146,-0.07506478110088863,0.27632353596242376,华厦眼科
600651,7.9,36.91588785046729,0.15984423678586995,0.7591680089921055,False,False,0.43788833652066134,-0.10022779043280172,-0.123196448390677,0.4,-0.002804258680336525,-0.025893958076448675,0.7691048637575488,1.1784618185127955,0.8948560058108668,-0.5185431656283244,-0.5091009413069935,-0.6171993112739732,0.2614801841388253,飞乐音响
300007,54.4,42.49617151607964,0.2818913688681217,1.3729064192003755,True,False,0.348498009165435,-0.05391304347826087,-0.1211631663974152,0.45,-0.004892192928045746,-0.017163504968383037,0.29263708318553144,0.704304178764122,-0.7804458752931835,0.1340644358136565,1.173520813860188,-0.07506478110088863,0.2570725474486943,汉威科技
