code,latest_close,rsi,rsi_low_days,boll_pos,vol_ratio,above_ma60,volatility,pullback_5d,pullback_20d,overnight_win_rate,ret_3d,name,is_hot_leader,hot_concept,hot_score,s_rsi,s_boll,s_vol,s_volatility,s_trend,s_flow_1d,s_flow_trend,s_overnight,s_hot,s_fundamental,total_score,sector,s_news
600787,5.94,67.27272727272731,0,0.8719712775751336,1.3106972358936293,True,0.17315103101689086,-0.006688963210702337,-0.006688963210702337,0.6,0.01192504258943794,中储股份,False,,0.0,-0.9841684411544537,-1.3367784276018126,-0.07414115439954647,1.3591035106995097,0.2792403683301047,0,0,1.8585934237536545,0.0,0,0.33346035655450246,其他,0.0
000028,25.95,47.19101123595501,0,0.29890811069757983,1.4888947778127435,True,0.1833140997291209,-0.008406572411157942,-0.05395552314983598,0.4,0.007766990291262044,国药一致,False,,0.0,0.6146902454422313,0.36490431782300226,-0.6369537848411879,1.2437857294970738,0.2792403683301047,0,0,-0.4060311787277217,0.0,0,0.33200174814348343,医药,0.0
601200,8.62,59.99999999999991,0,0.7626685541006833,1.1478575704130483,True,0.16963284816326427,-0.013729977116704872,-0.013729977116704872,0.45,-0.0023148148148149916,上海环境,False,,0.0,-0.40513111416724357,-1.012209393479691,0.44016571808785804,1.3990234455176667,0.2792403683301047,0,0,0.16012497189262237,0.0,0,0.3301532984953317,其他,0.0
603118,12.2,60.443037974683534,0,0.663311741002345,0.9433444208999584,True,0.3559591597887623,-0.03709550118389904,-0.03709550118389904,0.4,-0.034810126582278555,共进股份,False,,0.0,-0.4404047488017552,-0.7171742485565371,1.086092605730411,-0.7151742879316149,1.7153336911706432,0,0,-0.4060311787277217,0.0,0,0.3294700418098154,其他,0.0
002929,47.85,54.966139954853276,0,0.5862345767950392,0.7926363800830437,True,0.4326005568171177,-0.05807086614173218,-0.07785700520331473,0.55,-0.010750465164357959,润建通信,False,,0.0,-0.004347095233955042,-0.4882974196503922,1.562083396441626,-1.584804918582501,1.7153336911706432,0,0,1.2924372731333111,0.0,0,0.321971140783013,科技,0.0
002947,47.91,64.47811447811448,0,0.5895219028575386,0.9124567311612233,True,0.3767694962516603,-0.039494787489976035,-0.07259001161440182,0.45,-0.026219512195122086,恒铭达,False,,0.0,-0.7616679868028878,-0.49805897188837744,1.1836471607646977,-0.9513039348845738,1.7153336911706432,0,0,0.16012497189262237,0.0,0,0.31455212615933636,其他,0.0
002557,22.8,31.045751633986953,1,0.2212621639634588,1.0593815328816463,True,0.25557882217672573,-0.02771855010660973,-0.07542579075425793,0.35,-0.007832898172323799,洽洽食品,False,,0.0,1.9001375904149571,0.5954701183255147,0.7196052147151709,0.42381612308878647,0.2792403683301047,0,0,-0.9721873293480664,0.0,0,0.31175868045798183,消费,0.0
605011,21.11,66.260162601626,0,0.9911359967732338,1.1769840315471278,True,0.15957491607171514,-0.014932337844143717,-0.014932337844143717,0.5,0.008118433619866305,杭州热电,False,,0.0,-0.9035504393279802,-1.690632170510626,0.3481737633740921,1.5131482679629256,0.2792403683301047,0,0,0.7262811225129664,0.0,0,0.3110389172845929,其他,0.0
002048,30.62,44.34087882822905,0,-0.06393288446186064,1.2553653023527125,True,0.4317812401179049,-0.059293394777265584,-0.13208616780045357,0.45,-0.05113108149984513,宁波华翔,False,,0.0,0.8416110399450005,1.2524971764132047,0.10061721054872512,-1.5755083383338975,1.7153336911706432,0,0,0.16012497189262237,0.0,0,0.3088872154228285,其他,0.0
301458,38.76,63.85169927909367,0,0.8096638581914438,1.0520928493685122,True,0.35464936981373885,-0.033416458852867925,-0.033416458852867925,0.45,-0.027352572145545873,钧崴电子,False,,0.0,-0.7117942917194281,-1.151759625826637,0.7426255274327594,-0.7003124309435638,1.7153336911706432,0,0,0.16012497189262237,0.0,0,0.3001592101224248,科技,0.0
