code,ret_20d,ret_5d,volatility_20d,drawdown_20d,latest_close,roe,gross_margin,revenue_growth,net_profit_growth,debt_ratio,eps,bps,prev_eps,report_date,industry,name,pe,pb,ret_20d_adj,momentum_crash,revenue_growth_adj,net_profit_growth_adj,industry_group,composite_score,pe_raw,pb_raw,roe_raw,revenue_growth_raw,net_profit_growth_raw,volatility_raw,ret_20d_raw,ret_5d_raw,drawdown_raw,prev_eps_raw
688082,-1.334550309430243,-0.05889611846533538,-1.325219521331662,-0.17182486795991903,167.78,0.49594248000315966,1.28944623639134,0.18367183246347396,-0.18369402565919998,0.9957985955313589,3.1,28.052015861684,0.56,2025-12-31,未知,盛美上海,-0.21282584330352255,-0.2267122806676397,-0.1261458333333333,False,20.7989297114,21.0495910628,其他,-0.071812483757258,54.12258064516129,5.981031838398795,14.82,20.7989297114,21.0495910628,0.496237589285447,-0.1261458333333333,-0.05889611846533538,-0.17182486795991903,0.56
601077,0.4896094214655317,-0.0030674846625766694,0.3384456746745584,-0.04692082111436957,6.5,-0.6492968401734218,,-0.584337584773832,-0.5288271626877074,-1.556432855114217,0.92,11.58,0.99,2025-09-30,未知,渝农商行,0.8361076798615125,0.7753598772166829,0.06035889070146827,False,0.6660377544,3.7411271267,其他,-0.11491407031476031,7.065217391304348,0.5613126079447323,8.145,0.6660377544,3.7411271267,0.2417144265852073,0.06035889070146827,-0.0030674846625766694,-0.04692082111436957,0.99
601825,-0.20352680530766645,-0.005924170616113611,0.633604527092787,-0.038946162657502836,8.39,-0.6119800533362072,,-0.7312379933135094,-0.5877955104843112,-1.556432855114217,1.1,13.06,1.27,2025-09-30,未知,沪农商行,0.8361076798615125,0.7753598772166829,-0.0011904761904761862,False,-3.1848656163,0.7838581435,其他,-0.16413390843683023,7.627272727272727,0.6424196018376723,8.3625,-3.1848656163,0.7838581435,0.19655824684615605,-0.0011904761904761862,-0.005924170616113611,-0.038946162657502836,1.27
000807,-0.4382145599250485,0.08130348913759056,-2.0122671826544667,-0.14072717760920728,32.85,0.4427553355455206,-0.8834649258995984,-0.13409286683235608,-0.30158129267444833,1.2603375525825826,1.268,9.320066540241,1.27,2025-09-30,未知,云铝股份,0.4520888762940491,0.2721277097065807,-0.022030366180410876,False,12.4689246163,15.1375319449,其他,-0.16713973922859188,25.906940063091483,3.5246529472900696,14.51,12.4689246163,15.1375319449,0.6069618496019568,-0.022030366180410876,0.08130348913759056,-0.14072717760920728,1.27
688009,0.47468908632935347,0.04042179261862899,0.3999272839709802,-0.008375209380234505,5.92,-1.2403604293881516,-0.025808040881564097,-0.4454567109760758,-0.6663978323197508,-0.3157659190856279,0.22,4.351055552904,0.32,2025-09-30,未知,中国通号,0.42847272457762764,0.7116044737982063,0.05903398926654746,False,4.3067139809,-3.1580567491,其他,-0.16733540934377297,26.90909090909091,1.3605893852697075,4.7,4.3067139809,-3.1580567491,0.2323083912341094,0.05903398926654746,0.04042179261862899,-0.008375209380234505,0.32
002600,-0.4676402598862661,-0.024643320363164745,0.1608858952121914,-0.06292834890965737,15.04,-0.43054326216216454,-0.8026758399315816,0.0022752113435442205,0.022311374126901092,-0.27084815339009677,0.28,3.184711282403,0.25,2025-09-30,未知,领益智造,-0.2032041829805325,0.028856814758115874,-0.024643320363164745,False,16.043729459416667,31.380784015000003,其他,-0.20877760815562937,53.71428571428571,4.722563104260955,9.42,19.2524753513,37.656940818,0.26887919311732494,-0.024643320363164745,-0.024643320363164745,-0.06292834890965737,0.25
002422,-0.8566869385643112,-0.02580645161290329,0.5575693045814577,-0.08429351121892048,30.2,-1.1580061411956784,1.2609772832318973,-0.9805631601881181,-1.0475596260590303,0.9995273585930743,0.75,14.835447057271,1.86,2025-09-30,未知,科伦药业,0.11369522684483385,0.5745105168571345,-0.05919003115264809,False,-20.9190091225,-51.4082935616,其他,-0.2134103231904735,40.266666666666666,2.0356649774971682,5.18,-20.9190091225,-51.4082935616,0.20819083094820853,-0.05919003115264809,-0.02580645161290329,-0.08429351121892048,1.86
600482,2.406932921362699,0.014462187405845262,-1.71948453915892,-0.035796105383734234,33.67,-1.3721272904961088,-0.8420690540540315,-0.15648224238731845,0.6428110312487081,-0.21140724941523403,0.54,17.799550657267,0.63,2025-09-30,未知,中国动力,-0.4067524543607303,0.6037629271807273,0.24935064935064943,False,11.8820009811,62.4989085455,其他,-0.27067156325554065,62.35185185185185,1.8916207857333516,3.04,11.8820009811,62.4989085455,0.5565559631507886,0.24935064935064943,0.014462187405845262,-0.035796105383734234,0.63
600522,2.406932921362699,0.1783066718689037,-2.0122671826544667,-0.05091137649277189,30.2,-0.9435418490277794,-0.934569383851518,-0.20340257595749953,-0.5796579240891117,0.42862946347089054,0.691,10.72945073505,0.835,2025-09-30,通信设备,中天科技,0.03267458551564664,0.4163080407856438,0.44152744630071594,False,10.6520134508,1.1919589763,其他,-0.2783967018229183,43.70477568740955,2.8146827592343913,6.43,10.6520134508,1.1919589763,0.67846644506496,0.44152744630071594,0.1783066718689037,-0.05091137649277189,0.835
002625,-0.3589510561600178,0.008504459655672925,0.2586691165238059,-0.03397575998410496,48.62,-0.9212375626423178,1.4758942515230526,0.37273231182241084,-0.348009480836244,1.601134876650444,0.28,4.428874875329,0.3,2025-09-30,未知,光启技术,-2.8238859950129807,-1.2414850181271042,-0.014991896272285254,False,25.755033268,12.8091533159,其他,-0.34645941988808143,173.6428571428571,10.977957465187645,6.56,25.755033268,12.8091533159,0.25391939543267317,-0.014991896272285254,0.008504459655672925,-0.03397575998410496,0.3
601136,-0.6924906162619507,0.005027932960893766,0.7887617018521353,-0.054650551760378474,17.99,-1.0276118515575956,,-0.27593420262393953,-0.4600621395469752,-1.1900337937044143,0.29,5.026019300138,0.36,2025-09-30,未知,首创证券,-0.39927350377582566,0.2610151036809963,-0.044609665427509326,False,8.7506417093,7.1897004319,其他,-0.3557921496165669,62.03448275862069,3.5793734416232836,5.94,8.7506417093,7.1897004319,0.17282084166981102,-0.044609665427509326,0.005027932960893766,-0.054650551760378474,0.36
300803,-1.334550309430243,0.0002621002970470965,0.4193609816354786,-0.13014739401306796,114.49,-0.461426120234342,1.6325537962969177,0.5714570758002365,1.2117385739892883,-1.556432855114217,0.38,4.574297697929,0.23,2025-12-31,未知,指南针,-2.8238859950129807,-2.5454886641470904,-0.1033051378446116,False,30.96448006975667,91.03068599394001,其他,-0.502947264958343,301.2894736842105,25.028978776749707,9.24,40.3884522649,118.7356773834,0.22933524122507964,-0.1033051378446116,0.0002621002970470965,-0.13014739401306796,0.23
302132,0.4440456953056153,0.02257030093734591,-0.011118653441371449,-0.0036053358971277483,82.91,-0.14573468216319455,-1.147016099990729,-0.4602972864042606,-1.0475596260590303,-1.5269903574994736,0.81,7.460463850268,0.19,2025-09-30,军工电子Ⅱ,中航成飞,-1.349516561324021,-1.2689601502269112,0.056312906102688354,False,3.917677473053334,-22.302365493863334,其他,-0.6252470240209004,102.35802469135801,11.113250015549857,11.08,6.1858065364,-35.2142613061,0.29519406814580296,0.056312906102688354,0.02257030093734591,-0.0036053358971277483,0.19
002384,2.406932921362699,0.1535927005449247,-1.775376120314796,-0.009574583832009487,91.03,-0.9881504217987024,-0.9890487889381239,-0.5226401102089115,-0.31213221872029445,-0.45318412034601696,0.7,11.633960762551,0.64,2025-09-30,未知,东山精密,-2.001922539953195,-0.6010840100690563,0.24511010805635336,False,2.2833988981,14.6084018691,其他,-0.6708251739702471,130.04285714285714,7.824506361841957,6.17,2.2833988981,14.6084018691,0.5651067833748702,0.24511010805635336,0.1535927005449247,-0.009574583832009487,0.64
301236,-1.0715089301932705,0.026270824434002416,-0.235694406267621,-0.12477231329690353,48.05,-1.3721272904961088,-1.147016099990729,-0.2643424865383126,-0.22191963371517734,-0.5406289672632744,0.1,10.877105186745,0.19,2025-09-30,IT服务Ⅱ,软通动力,-2.8238859950129807,0.09080161071162869,-0.07826587377709582,False,9.054511378486668,19.13257270817667,其他,-0.9079443606698635,480.49999999999994,4.417535656320988,0.94,14.2965969134,30.2093253287,0.3295517808709002,-0.07826587377709582,0.026270824434002416,-0.12477231329690353,0.19
