code,latest_close,rsi,rsi_low_days,boll_pos,vol_ratio,above_ma60,volatility,pullback_5d,pullback_20d,overnight_win_rate,ret_3d,name,is_hot_leader,hot_concept,hot_score,s_rsi,s_boll,s_vol,s_volatility,s_trend,s_flow_1d,s_flow_trend,s_overnight,s_hot,total_score,sector
601500,4.58,44.00000000000001,0,0.21571849827641118,1.007321280903362,False,0.20789700007883566,-0.02136752136752129,-0.05567010309278342,0.55,0.002188183807439792,通用股份,False,,0.0,0.28904521037145,1.0078886260416715,0.23103133874007892,1.2242137315639943,-1.7912447129656597,0,0,0.9931496248107374,0.0,0.2512083364567847,其他
600037,7.99,49.04761904761907,0,0.38594365945354336,0.6522827949653615,True,0.3166393067010738,-0.07308584686774933,-0.07308584686774933,0.4,-0.01842751842751844,歌华有线,False,,0.0,-0.17811773443272003,0.35157382353495625,1.1748889859544132,0.42550138693496004,1.1303041504275284,0,0,-0.6742483691375651,0.0,0.24884437433602058,其他
600789,9.16,13.291139240506368,2,0.3585988070843465,0.8162414571315608,False,0.4332131424487806,-0.01505376344086029,-0.14948932219127198,0.35,0.004385964912280826,鲁抗医药,False,,0.0,3.1311855717272103,0.4570037802943433,0.7390105016719429,-0.43073354650179063,-1.7912447129656597,0,0,-1.2300477004536663,0.0,0.24714094464758232,医药
301267,18.68,43.81625441696108,0,0.3230225235762594,0.8027617951668584,False,0.1713846471714509,-0.026068821689259614,-0.04057524396507439,0.45,-0.004264392324093924,华厦眼科,False,,0.0,0.30605107528665476,0.5941705852664734,0.7748457210387536,1.4923969980813159,-1.7912447129656597,0,0,-0.11844903782146447,0.0,0.21806844731343514,其他
300007,54.4,42.49617151607964,0,0.2818913688681217,1.3729064192003755,True,0.348498009165435,-0.05391304347826087,-0.1211631663974152,0.45,-0.017163504968383037,汉威科技,False,,0.0,0.42822626512240414,0.7527545777413237,-0.740864222322569,0.1914991873076723,1.1303041504275284,0,0,-0.11844903782146447,0.0,0.19770234542342263,科技
300170,23.15,36.01312551271534,1,-0.06889739377549123,1.1613906694826641,True,0.5448957108647919,-0.10721172387196298,-0.20392022008253097,0.4,-0.09144427001569866,汉得信息,False,,0.0,1.0282396246213077,1.8396061148916545,-0.17855685063048218,-1.2510421167772603,1.1303041504275284,0,0,-0.6742483691375651,0.0,0.19177509811447194,科技
300638,29.82,46.43356643356644,0,0.4639243695096218,0.7430169891098458,True,0.3660697602144263,-0.05273189326556549,-0.06957878315132593,0.4,-0.029296875,广和通,False,,0.0,0.0638158397005922,0.05091383904222916,0.9336752404055524,0.06243465929160612,1.1303041504275284,0,0,-0.6742483691375651,0.0,0.17648702830535556,其他
002061,4.08,50.0,0,0.34090967956406065,1.3104126076979694,True,0.16468829143583982,-0.012106537530266248,-0.030878859857482177,0.45,0.0049261083743843415,浙江交科,False,,0.0,-0.26626168628256086,0.5252054266003896,-0.5747265661913474,1.5415817372706373,-0.03831539492974677,0,0,-0.11844903782146447,0.0,0.17303843117042383,其他
600651,7.9,36.91588785046729,1,0.15984423678586995,0.7591680089921055,False,0.43788833652066134,-0.10022779043280172,-0.123196448390677,0.4,-0.025893958076448675,飞乐音响,False,,0.0,0.944687932589115,1.2233156794912732,0.8907383075659854,-0.46507285136608495,-0.6226251676083844,0,0,-0.6742483691375651,0.0,0.16714527459733675,其他
603662,67.3,43.732193732193714,0,0.45549869643152036,1.4808703671394032,True,0.31685292959714717,-0.03179398647676601,-0.08185538881309684,0.5,0.0029806259314455463,柯力传感,False,,0.0,0.31383098828478423,0.08339960039501776,-1.0278826778471246,0.4239323265619635,1.1303041504275284,0,0,0.43735029349463617,0.0,0.16423462800412522,其他
002881,46.99,50.935960591133025,0,0.591765611660198,0.7892849697727746,True,0.31601919767302966,-0.044530296868645736,-0.044530296868645736,0.45,-0.02246723528188055,美格智能,False,,0.0,-0.35288591482464987,-0.4419868521015438,0.8106733994797878,0.43005608833039183,1.1303041504275284,0,0,-0.11844903782146447,0.0,0.15199867278072138,科技
002434,9.63,32.802547770700656,4,0.3021603232968443,1.5127384816570535,True,0.4399334447167174,-0.050295857988165604,-0.14854111405835546,0.4,-0.019348268839103788,万里扬,False,,0.0,1.3253822850187442,0.6746062315690321,-1.112602968128666,-0.48009417299361384,1.1303041504275284,0,0,-0.6742483691375651,0.0,0.14208408865955377,其他
002320,10.32,46.26168224299065,0,0.013559010539451645,1.5259942268610607,False,0.29722424722728547,-0.042671614100185495,-0.07027027027027022,0.5,-0.0162059103908484,海峡股份,False,,0.0,0.07972391910934681,1.7873284183228928,-1.1478429124611003,0.5681050170684632,-0.6226251676083844,0,0,0.43735029349463617,0.0,0.13384839773158322,其他
600928,3.74,56.363636363636395,0,0.472982838652087,0.840980830036343,False,0.17711537519810358,-0.03856041131105392,-0.05316455696202527,0.5,-0.007957559681697535,西安银行,False,,0.0,-0.8552235463701516,0.015988288993468765,0.6732417266565396,1.4503047953243897,-0.6226251676083844,0,0,0.43735029349463617,0.0,0.130910695626869,金融
600866,7.3,47.727272727272705,0,0.46239007812127025,1.2799264227458644,True,0.2610651084269742,-0.009497964721845387,-0.03566710700132103,0.5,0.008287292817679592,星湖科技,False,,0.0,-0.05591816482270598,0.056829404887902564,-0.4936800882992023,0.8336939256364286,-0.03831539492974677,0,0,0.43735029349463617,0.0,0.10413777976752461,科技
