code,ret_20d,ret_5d,latest_close,roe,gross_margin,revenue_growth,net_profit_growth,debt_ratio,eps,bps,report_date,name,pe,pb,composite_score
603296,-0.5566044584894988,0.03743252757568638,88.41,0.024478213658898476,-1.3302555918395036,1.3657620955352112,0.033303927431453474,-1.3167378283399356,3.07,24.483834056776,2025-09-30,华勤技术,0.46829812029860224,0.35684902298757704,-0.0013398177181390414
600522,2.394499788911969,0.05299917830731293,25.63,-0.8446852780126797,-0.9755742971340954,-0.3669957695906883,-0.5180402643425179,0.30314321535857774,0.691,10.72945073505,2025-09-30,中天科技,0.28600685521128194,0.5687532263595249,-0.00380722584410104
601058,-0.4915812754190962,-0.019076923076923102,15.94,0.14150627834690227,-0.38084109704574637,-0.1874718845822924,-0.6576835574606396,-0.1514378974718317,0.88,6.407355120916,2025-09-30,赛轮轮胎,0.703152182958591,0.5515863273804094,-0.007342449575865193
601127,-1.0091781539519398,-0.0210221094599492,108.04,1.4722074183947649,-0.1079884851569371,-0.5725175042129108,-0.18299958877731712,-1.3661363516602267,3.34,17.021637968134,2025-09-30,赛力斯,0.3902818199418015,-0.11756138938209884,-0.011280265854565319
600161,-0.4840866159719028,-0.007878787878787818,16.37,-0.7486959665270136,0.7403982252541976,-0.3974588613807092,-0.7756341857575751,1.66831253347768,0.41,5.797114071283,2025-09-30,天坛生物,0.2236762607373004,0.4933217913987837,-0.011575408561795675
001391,-0.31165758909270314,-0.00666666666666671,5.96,-0.7447512003015753,-0.8870242074627321,-0.1826524126211229,0.1992930091120992,1.66831253347768,0.15,2.137349762693,2025-09-30,国货航,0.2279294960278067,0.4994453258234429,-0.02532177036353378
600377,-0.05686234499169917,-0.017170891251022113,12.02,-0.42259529189077844,0.4495321380258103,-0.9056829300346726,-0.6068674957581822,0.15629299115472767,0.7617,7.996219314066,2025-09-30,宁沪高速,0.7544370648399052,0.7222876539205456,-0.04076764392225056
600026,2.261113528643289,0.08809801633605585,18.65,-0.7262370974835181,-0.5109053144404122,-0.7552857183297955,-0.7653462380917049,-0.16001008914215933,0.5707,7.843095986246,2025-09-30,中远海能,0.38298719128822317,0.5706369512386592,-0.061543314732172255
600482,2.394499788911969,0.11189279731993285,33.19,-1.1699969994038268,-0.8931936025571885,-0.3308156827351774,0.15830951276583613,-0.31603958565698487,0.54,17.799550657267,2025-09-30,中国动力,-0.24970962135100225,0.6596209313456652,-0.1207584910127626
600930,-0.3122324147629502,0.0016891891891892552,5.93,-0.6619111095673704,0.8210759069335248,-0.14471893719006962,-0.5292718899385846,-1.0723559294967056,0.19,2.645076315354,2025-09-30,华电新能,0.41526936747682397,0.5942141157994351,-0.141656678516989
601077,0.44805439734248764,-0.028315946348733245,6.52,-0.619176142125122,,-0.6607332743478721,-0.4899173627391907,-1.610120273941215,0.92,11.58,2025-09-30,渝农商行,0.9022579107625395,0.8045410389308639,-0.17235075300352973
600027,-0.4719648961265539,0.002049180327868827,4.89,-0.01628437067063074,-1.1218721537030514,-0.9662612755804585,-0.35615891851723674,-0.6236887689950641,0.54,4.192375428595,2025-09-30,华电国际,0.9022579107625395,0.780682976208216,-0.19215755497018297
600027,-0.4719648961265539,0.002049180327868827,4.89,-0.01628437067063074,-1.1218721537030514,-0.9662612755804585,-0.35615891851723674,-0.6236887689950641,0.54,4.192375428595,2025-09-30,华电国际,0.9022579107625395,0.780682976208216,-0.19215755497018297
600027,-0.4719648961265539,0.002049180327868827,4.89,-0.01628437067063074,-1.1218721537030514,-0.9662612755804585,-0.35615891851723674,-0.6236887689950641,0.54,4.192375428595,2025-09-30,华电国际,0.9022579107625395,0.780682976208216,-0.19215755497018297
600027,-0.4719648961265539,0.002049180327868827,4.89,-0.01628437067063074,-1.1218721537030514,-0.9662612755804585,-0.35615891851723674,-0.6236887689950641,0.54,4.192375428595,2025-09-30,华电国际,0.9022579107625395,0.780682976208216,-0.19215755497018297
002422,-0.6358776063688599,-0.03245942571785265,31.0,-1.0090505374059433,0.9797772114100339,-0.9662612755804585,-0.9193697859431363,0.8554399050307148,0.75,14.835447057271,2025-09-30,科伦药业,0.19275988656681375,0.6206217262141103,-0.22777617079894907
